公司编号,职位名称,职位链接,薪资待遇,工作地点,工作经验,最低学历,招聘人数,公司规模
21062112,龙头企业1000000年收入销售包住,http://sh.ganji.com/zpshichangyingxiao/1679655829x.htm,3000-5000元,黄浦-蓬莱公园,不限,不限,5人,100-499人
24330662,无责任底薪5000+提供住宿,http://sh.ganji.com/zpshichangyingxiao/1535536924x.htm,3000-5000元,闵行-其他,不限,不限,10人,100-499人
28805788,鲜花在前方 我们在路上,http://sh.ganji.com/zpshichangyingxiao/1378510343x.htm,5000-8000元,,1-3年,大专,10人,10000人以上
28098762,销售4k+提成+奖金 包住宿,http://sh.ganji.com/zpshichangyingxiao/1721705551x.htm,8000-12000元,长宁-中山公园,不限,不限,13人,500-999人
27259426,提供专业的销售平台，直招销售精英,http://sh.ganji.com/zpshichangyingxiao/1220092314x.htm,8000-12000元,普陀,不限,不限,10人,500-999人
27259426,年薪10万不是梦，直招销售代表,http://sh.ganji.com/zpshichangyingxiao/1220104968x.htm,8000-12000元,普陀,不限,不限,5人,500-999人
1325382,电话销售挑战高新,http://sh.ganji.com/zpshichangyingxiao/1612714165x.htm,8000-12000元,,不限,不限,30人,20-99人
27259426,3000-5000底薪百分之40提成,http://sh.ganji.com/zpshichangyingxiao/1219796991x.htm,8000-12000元,普陀,不限,不限,10人,500-999人
24330662,只看能力月薪5000+包住+高提成,http://sh.ganji.com/zpshichangyingxiao/1612215011x.htm,5000-8000元,闵行-其他,不限,不限,10人,100-499人
24104519,高级置业顾问,http://sh.ganji.com/zpshichangyingxiao/1497785426x.htm,5000-8000元,松江-松江大学城,不限,不限,20人,20-99人
24330662,急聘高级销售代表+万元月薪+各项福利,http://sh.ganji.com/zpshichangyingxiao/1050798133x.htm,3000-5000元,闵行-其他,不限,不限,10人,100-499人
24330662,销售助理(高薪、免培训、提供住宿),http://sh.ganji.com/zpshichangyingxiao/1050849487x.htm,5000-8000元,闵行-其他,不限,不限,8人,100-499人
21062112,包住宿实现你梦想的地方+高底薪高提成,http://sh.ganji.com/zpshichangyingxiao/1679758456x.htm,3000-5000元,黄浦-蓬莱公园,不限,不限,5人,100-499人
28074769,高提成+奖金+无责任底薪聘请销售,http://sh.ganji.com/zpshichangyingxiao/1485793009x.htm,5000-8000元,浦东,1-3年,中专/技校,10人,500-999人
28098762,电话销售,http://sh.ganji.com/zpshichangyingxiao/1721707288x.htm,12000-20000元,长宁-中山公园,不限,不限,15人,500-999人
28098762,未来在手中 高薪在销售,http://sh.ganji.com/zpshichangyingxiao/1858877237x.htm,8000-12000元,长宁-中山公园,不限,不限,12人,500-999人
28098762,销售代表 4k底薪+提成+奖金,http://sh.ganji.com/zpshichangyingxiao/1858858715x.htm,8000-12000元,长宁-中山公园,不限,不限,10人,500-999人
28098762,销售精英 无责底薪+高提成+高奖金,http://sh.ganji.com/zpshichangyingxiao/1858854497x.htm,12000-20000元,长宁-中山公园,不限,不限,20人,500-999人
24330662,诚聘电话销售+平均月薪8000元以上,http://sh.ganji.com/zpshichangyingxiao/1043171223x.htm,3000-5000元,闵行-其他,不限,不限,10人,100-499人
28098762,销售助理 月薪过万,http://sh.ganji.com/zpshichangyingxiao/1858837406x.htm,8000-12000元,长宁-中山公园,不限,不限,10人,500-999人
28098762,销售助理15万年薪做自己的老板,http://sh.ganji.com/zpshichangyingxiao/1858809839x.htm,12000-20000元,长宁-中山公园,不限,不限,10人,500-999人
28098762,时间自由 经济自由 工作更自由 包住,http://sh.ganji.com/zpshichangyingxiao/1858805492x.htm,12000-20000元,长宁-中山公园,不限,不限,20人,500-999人
